repetition,sentence_id,short_label,left_frequency_present,left_frequency_absent,risk_difference
1,s1,30-word cap,0.66875,0.35625,0.31249999999999994
1,s2,9th-grade level,0.56875,0.45625,0.11249999999999999
1,s3,Omit prompt details,0.5375,0.4875,0.04999999999999999
1,s4,No first person,0.50625,0.51875,-0.012500000000000067
1,s5,No essay title,0.59375,0.43125,0.16249999999999998
2,s1,30-word cap,0.7125,0.3625,0.35000000000000003
2,s2,9th-grade level,0.6125,0.4625,0.15000000000000002
2,s3,Omit prompt details,0.58125,0.49375,0.08750000000000002
2,s4,No first person,0.54375,0.53125,0.012499999999999956
2,s5,No essay title,0.64375,0.43125,0.21250000000000002
3,s1,30-word cap,0.65625,0.3625,0.29375
3,s2,9th-grade level,0.5375,0.48125,0.05624999999999997
3,s3,Omit prompt details,0.55625,0.4625,0.09375
3,s4,No first person,0.51875,0.5,0.018750000000000044
3,s5,No essay title,0.60625,0.4125,0.19374999999999998
4,s1,30-word cap,0.70625,0.41875,0.28750000000000003
4,s2,9th-grade level,0.6,0.525,0.07499999999999996
4,s3,Omit prompt details,0.59375,0.53125,0.0625
4,s4,No first person,0.5875,0.5375,0.050000000000000044
4,s5,No essay title,0.6625,0.4625,0.19999999999999996
5,s1,30-word cap,0.70625,0.375,0.33125000000000004
5,s2,9th-grade level,0.6,0.48125,0.11874999999999997
5,s3,Omit prompt details,0.5625,0.51875,0.043749999999999956
5,s4,No first person,0.5625,0.51875,0.043749999999999956
5,s5,No essay title,0.61875,0.4625,0.15625
