first_sentence_id,second_sentence_id,first_short_label,second_short_label,interaction,interaction_pp,ci95_lower,ci95_upper,ci95_lower_pp,ci95_upper_pp,standard_error,finite_population_ci95_lower,finite_population_ci95_upper,topic_effect_sd,p_value,holm_p_value,absolute_effect_rank
s1,s2,30-word cap,9th-grade level,-0.10500000000000001,-10.500000000000002,-0.21991570367448826,0.009915703674488241,-21.991570367448826,0.9915703674488241,0.05079916884709389,-0.1862576733330545,-0.023742326666945507,0.1606410768002865,0.07421875,0.66796875,1
s1,s3,30-word cap,Omit prompt details,-0.085,-8.5,-0.1710578289153505,0.0010578289153505005,-17.10578289153505,0.10578289153505005,0.03804237403504441,-0.14585207440023612,-0.024147925599763906,0.12030054955079054,0.05859375,0.5859375,2
s1,s5,30-word cap,No essay title,-0.07000000000000003,-7.0000000000000036,-0.26128274480617064,0.12128274480617054,-26.128274480617065,12.128274480617055,0.08455767262643882,-0.2052573259764191,0.06525732597641903,0.2673948391424188,0.439453125,1,3
s3,s4,Omit prompt details,No first person,0.039999999999999994,3.9999999999999996,-0.015411307669746119,0.0954113076697461,-1.541130766974612,9.54113076697461,0.02449489742783178,0.0008182885923083624,0.07918171140769162,0.07745966692414834,0.1796875,1,4
s4,s5,No first person,No essay title,0.03500000000000002,3.5000000000000018,-0.05509269488540297,0.125092694885403,-5.509269488540297,12.509269488540301,0.03982601048449507,-0.02870515548883902,0.09870515548883906,0.12594090324875043,0.5546875,1,5
s1,s4,30-word cap,No first person,-0.034999999999999996,-3.4999999999999996,-0.13482298048220057,0.06482298048220056,-13.482298048220057,6.482298048220056,0.04412734098291241,-0.1055855064172164,0.03558550641721641,0.1395429045928965,0.4453125,1,6
s2,s3,9th-grade level,Omit prompt details,0.02000000000000001,2.000000000000001,-0.0364281137229108,0.07642811372291082,-3.6428113722910798,7.642811372291082,0.02494438257849294,-0.019900701863035906,0.05990070186303593,0.07888106377466154,0.49609375,1,7
s2,s5,9th-grade level,No essay title,0.014999999999999994,1.4999999999999993,-0.051489293502362816,0.08148929350236281,-5.148929350236282,8.148929350236282,0.02939198681424732,-0.032015030311823414,0.0620150303118234,0.09294562329065788,0.7265625,1,8
s2,s4,9th-grade level,No first person,0.00999999999999999,0.999999999999999,-0.042783667133262336,0.06278366713326232,-4.278366713326234,6.278366713326232,0.023333333333333338,-0.027323688965823295,0.04732368896582327,0.0737864787372622,0.7578125,1,9
s3,s5,Omit prompt details,No essay title,0.004999999999999985,0.49999999999999856,-0.04818608973482136,0.058186089734821325,-4.818608973482136,5.8186089734821325,0.023511226632776463,-0.03260824471628842,0.042608244716288386,0.07434902674398484,0.921875,1,10
